station,target_date
csengele,2019-06-03 02:00:00
csengele,2019-06-04 02:00:00
csengele,2019-06-05 02:00:00
csengele,2019-06-06 02:00:00
csengele,2019-06-07 02:00:00
csengele,2019-06-08 02:00:00
csengele,2019-06-09 02:00:00
csengele,2019-06-10 02:00:00
csengele,2019-06-11 02:00:00
csengele,2019-06-12 02:00:00
csengele,2019-07-01 02:00:00
csengele,2019-07-02 02:00:00
csengele,2019-07-03 02:00:00
csengele,2019-07-04 02:00:00
csengele,2019-07-05 02:00:00
csengele,2019-07-06 02:00:00
csengele,2019-07-07 02:00:00
csengele,2019-07-08 02:00:00
csengele,2019-07-09 02:00:00
csengele,2019-07-10 02:00:00
csengele,2019-07-11 02:00:00
csengele,2019-07-12 02:00:00
csengele,2019-08-01 02:00:00
csengele,2019-08-02 02:00:00
csengele,2019-08-03 02:00:00
csengele,2019-08-04 02:00:00
csengele,2019-08-05 02:00:00
csengele,2019-08-06 02:00:00
csengele,2019-08-07 02:00:00
csengele,2019-08-08 02:00:00
csengele,2019-08-09 02:00:00
csengele,2019-08-10 02:00:00
csengele,2019-08-11 02:00:00
csengele,2019-08-12 02:00:00
csengele,2019-09-01 02:00:00
csengele,2019-09-02 02:00:00
csengele,2019-09-03 02:00:00
csengele,2019-09-04 02:00:00
csengele,2019-09-05 02:00:00
csengele,2019-09-06 02:00:00
csengele,2019-09-07 02:00:00
csengele,2019-09-08 02:00:00
csengele,2019-09-09 02:00:00
csengele,2019-09-10 02:00:00
csengele,2019-09-11 02:00:00
csengele,2019-09-12 02:00:00
csengele,2019-10-01 02:00:00
csengele,2019-10-02 02:00:00
csengele,2019-10-03 02:00:00
csengele,2019-10-04 02:00:00
csengele,2019-10-05 02:00:00
csengele,2019-10-06 02:00:00
csengele,2019-10-07 02:00:00
csengele,2019-10-08 02:00:00
csengele,2019-10-09 02:00:00
csengele,2019-10-10 02:00:00
csengele,2019-10-11 02:00:00
csengele,2019-10-12 02:00:00
csengele,2019-11-01 01:00:00
csengele,2019-11-02 01:00:00
csengele,2019-11-03 01:00:00
csengele,2019-11-04 01:00:00
csengele,2019-11-05 01:00:00
csengele,2019-11-06 01:00:00
csengele,2019-11-07 01:00:00
csengele,2019-11-08 01:00:00
csengele,2019-11-09 01:00:00
csengele,2019-11-10 01:00:00
csengele,2019-11-11 01:00:00
